Snapshot,Size,Count,Average Count
"258, 83552, 622, 134.33"
"259, 71392, 1763, 40.49"
"260, 39264, 338, 116.17"
"261, 34992, 729, 48.00"
"262, 60792, 1265, 48.06"
"263, 86432, 634, 136.33"
"264, 73104, 1803, 40.55"
"265, 40080, 346, 115.84"
"266, 35184, 733, 48.00"
"267, 60792, 1265, 48.06"
"268, 89360, 646, 138.33"
"269, 74536, 1838, 40.55"
"270, 40800, 352, 115.91"
"271, 35280, 735, 48.00"
"272, 60792, 1265, 48.06"
"273, 92336, 658, 140.33"
"274, 75688, 1868, 40.52"
"275, 5440, 68, 80.00"
"276, 35280, 735, 48.00"
"277, 60792, 1265, 48.06"
"278, 95360, 670, 142.33"
"279, 77176, 1904, 40.53"
"280, 5440, 68, 80.00"
"281, 35328, 736, 48.00"
"282, 60696, 1263, 48.06"
"283, 98432, 682, 144.33"
"284, 78776, 1942, 40.56"
"285, 5440, 68, 80.00"
"286, 35232, 734, 48.00"
"287, 60696, 1263, 48.06"
"288, 101552, 694, 146.33"
"289, 80040, 1974, 40.55"
"290, 5360, 67, 80.00"
"291, 35184, 733, 48.00"
"292, 60744, 1264, 48.06"
"293, 104720, 706, 148.33"
"294, 81584, 2011, 40.57"
"295, 44304, 380, 116.59"
"296, 35232, 734, 48.00"
"297, 60792, 1265, 48.06"
"298, 107936, 718, 150.33"
"299, 82904, 2044, 40.56"
"300, 45024, 386, 116.64"
"301, 35280, 735, 48.00"
"302, 60792, 1265, 48.06"
"303, 111200, 730, 152.33"
"304, 84560, 2083, 40.60"
"305, 5440, 68, 80.00"
"306, 12160, 190, 64.00"
"307, 29936, 931, 32.15"
"308, 14904, 309, 48.23"
"309, 3744, 78, 48.00"
"310, 70968, 817, 86.86"
"311, 83352, 1066, 78.19"
"312, 42448, 1134, 37.43"
"313, 24384, 381, 64.00"
"314, 5424, 113, 48.00"
"315, 19704, 409, 48.18"
"316, 95736, 1315, 72.80"
"317, 55152, 1340, 41.16"
"318, 36800, 575, 64.00"
"319, 7344, 153, 48.00"
"320, 24608, 511, 48.16"
"321, 108552, 1573, 69.01"
"322, 68048, 1549, 43.93"
"323, 49408, 772, 64.00"
"324, 9216, 192, 48.00"
"325, 29360, 610, 48.13"
"326, 119880, 1800, 66.60"
"327, 81136, 1761, 46.07"
"328, 62208, 972, 64.00"
"329, 11088, 231, 48.00"
"330, 34056, 708, 48.10"
"331, 12960, 270, 48.00"
"332, 38904, 809, 48.09"
"333, 131792, 802, 164.33"
"334, 93320, 2296, 40.64"
"335, 82448, 1789, 46.09"
"336, 13056, 272, 48.00"
"337, 38952, 810, 48.09"
"338, 135392, 814, 166.33"
"339, 94472, 2326, 40.62"
"340, 5520, 69, 80.00"
